hallucination_score,label,primary_hallucination_tag,product,reactants,reason,secondary_hallucination_tag,source,target
,1,non_disconnection_or_no_progress,O=C[C@H](C)C[C@](C)(O)C(=O)[C@H](C)C(=O)[C@H](C)C(=O)O,O=C[C@H](C)C[C@](C)(O)C(=O)[C@H](C)[C@H](O)[C@H](C)C(=O)O,Similar reduction steps; molecule didn't break into smaller fragments,no_fragment_simplification,expert,Erythromycin B
,1,non_disconnection_or_no_progress,O=C[C@H](C)C[C@](C)(O)C(=O)[C@H](C)[C@H](O)[C@H](C)C(=O)O,O[C@H](C)C[C@](C)(O)C(=O)[C@H](C)[C@H](O)[C@H](C)C(=O)O,Similar reduction steps; molecule didn't break into smaller fragments,no_fragment_simplification,expert,Erythromycin B
,1,non_disconnection_or_no_progress,O[C@H](C)C[C@](C)(O)C(=O)[C@H](C)[C@H](O)[C@H](C)C(=O)O,O[C@H](C)C[C@](C)(O)[C@H](O)[C@H](C)[C@H](O)[C@H](C)C(=O)O,Similar reduction steps; molecule didn't break into smaller fragments,no_fragment_simplification,expert,Erythromycin B
,0,clean_or_plausible_step,O=C1CCCc2cc(Cl)cc(O)c21,O=C1CCC(=O)N1Cl.O=C1CCCc2cccc(O)c21,Proper chemistry to convert fragment into starting material,,expert,Tetracyclic Azepine
,0,clean_or_plausible_step,O[C@@](C[C@@H](C)C([C@@H]1C)=O)(C)[C@@H]([C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@H](C)[C@@H]1O)=O)O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)OC)O)O[C@@H]([C@@H]3O)O[C@H](C)C[C@@H]3N(C)C,O[C@@](C[C@@H](C)C([C@@H]1C)=O)(C)[C@@H]([C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@H](C)[C@@H]1O)=O)O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)OC)O)O.C[C@H]1C[C@H](N(C)C)[C@H](O)[C@H](C)O1,Protecting group eliminated; no mistakes,,expert,Erythromycin B
,0,clean_or_plausible_step,O[C@@](C[C@@H](C)C([C@@H]1C)=O)(C)[C@@H]([C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@H](C)[C@@H]1O)=O)O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)O)O)O,O[C@@](C[C@@H](C)C([C@@H]1C)=O)(C)[C@@H]([C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@H](C)[C@@H]1O)=O)O)O.Br[C@@H]1O[C@@H](C)[C@@H]([C@](C1)(C)O)O,Proper removal of protective group from main ring,,expert,Erythromycin B
,0,clean_or_plausible_step,[H][C@]12C[C@H]([C@@H]([C@H]([C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])C(OC)=O)OC)OC(C6=CC(OC)=C(C(OC)=C6)OC)=O,[H][C@]12C[C@H]([C@@H]([C@H]([C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])C(OC)=O)OC)O.COc1cc(C(=O)O)cc(OC)c1OC,Protecting group eliminated; no mistakes,,expert,Reserpine
,0,clean_or_plausible_step,[H][C@]12C[C@H]([C@@H]([C@H]([C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])C(OC)=O)OC)O,[H][C@]12C[C@H]([C@@H]([C@H]([C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])C(O)=O)OC)O,Acetylation reaction; no mistakes,,expert,Reserpine
,0,clean_or_plausible_step,[H][C@]12C[C@H]([C@@H]([C@H]([C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])C(O)=O)OC)O,[H][C@]12C[C@H]([C@@H](C(=O)[C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])OC)O,Reduction step; overall chemistry looks good,,expert,Reserpine
,0,clean_or_plausible_step,[H][C@]12C[C@H]([C@@H](C(=O)[C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])OC)O,[H][C@]12C[C@H]([C@@H]([C@H](O)[C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])OC)O,Reduction step; overall chemistry looks good,,expert,Reserpine
,0,clean_or_plausible_step,[H][C@]12C[C@H]([C@@H]([C@H](O)[C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])OC)O,[H][C@]12C[C@H]([C@@H]([C@H](O)[C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(O)=C5)[H])[H])OC)O,Reduction step; overall chemistry looks good; methylation also reasonable,,expert,Reserpine
,0,clean_or_plausible_step,CCc1c([nH]c2cc(O)ccc12)CN1CCCC[C@H]2C=CC(=O)[C@@H]3C[C@]([H])(C[C@H]23)C1,CCc1c(CBr)[nH]c2cc(O)ccc12.N1CCCC[C@H]2C=CC(=O)[C@@H]3C[C@H](C[C@H]23)C1,Produced two chemically stable and accurate fragments,,expert,Reserpine
,0,clean_or_plausible_step,[H][C@]12C[C@H]([C@@H]([C@H]([C@]1(C[C@]3(N(C2)CCC4=C3NC5=C4C=CC(OC)=C5)[H])[H])C(OC)=O)OC)O,COC1=CC2=C(C=C1)C3=C(N2)CCN[C@@H]3C[C@@H]4C[C@H]([C@@H]([C@H]([C@@H]4C(=O)OC)OC)O)C=O,default-clean (post-V4 prompt successful pathway),,expert,Reserpine (v2 role-tag)
