,input,output,reaction_type,reactants,reagents,products,any_correct,all_correct,not_common,missed
251,CC(C)[C@H](N)[C@H](O)C(F)(F)F,CC(C)[C@H](NC(=O)OCc1ccccc1)[C@H](O)C(F)(F)F,6,['CC(=O)N[C@@H](C(C)C)[C@H](O)C(F)(F)F'],[],['CC(C)[C@H](N)[C@H](O)C(F)(F)F'],0.0,0.0,['CC(=O)N[C@@H](C(C)C)[C@H](O)C(F)(F)F'],['CC(C)[C@H](NC(=O)OCc1ccccc1)[C@H](O)C(F)(F)F']
259,COc1ccc(-c2cc3c(cn2)CN(C(C)=O)c2ccccc2C=C3)cn1,COc1ccc(-c2nc3c(cc2F)CN(C(C)=O)c2ccccc2C=C3)cn1,3,['COc1ccc(-c2cc3c(cn2)CNc2ccccc2C=C3)cn1'],['CC(=O)Cl'],['COc1ccc(-c2cc3c(cn2)CN(C(C)=O)c2ccccc2C=C3)cn1'],0.0,0.0,"['COc1ccc(-c2cc3c(cn2)CNc2ccccc2C=C3)cn1', 'CC(=O)Cl']",['COc1ccc(-c2nc3c(cc2F)CN(C(C)=O)c2ccccc2C=C3)cn1']
263,CSc1ccc(Nc2cc(-c3nnc(C(C)(C)OC(C)=O)o3)ccn2)cc1,CSc1ccc(Nc2cc(C(=O)NNC(=O)C(C)(C)OC(C)=O)ccn2)cc1,4,"['CSc1ccc(N)cc1', 'CC(=O)OC(C)(C)c1nnc(-c2ccnc(Cl)c2)o1']",[],['CSc1ccc(Nc2cc(-c3nnc(C(C)(C)OC(C)=O)o3)ccn2)cc1'],0.0,0.0,"['CSc1ccc(N)cc1', 'CC(=O)OC(C)(C)c1nnc(-c2ccnc(Cl)c2)o1']",['CSc1ccc(Nc2cc(C(=O)NNC(=O)C(C)(C)OC(C)=O)ccn2)cc1']
304,COc1ccc(SCCCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC,CNCCCN1CCc2cc(OC)c(OC)cc2CC1=O.COc1ccc(SCCCCl)cc1OC,1,"['CNCCCSc1ccc(OC)c(OC)c1', 'COc1cc2c(cc1OC)CC(=O)N(CCCBr)CC2']",[],['COc1ccc(SCCCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC'],0.0,0.0,"['CNCCCSc1ccc(OC)c(OC)c1', 'COc1cc2c(cc1OC)CC(=O)N(CCCBr)CC2']","['CNCCCN1CCc2cc(OC)c(OC)cc2CC1=O', 'COc1ccc(SCCCCl)cc1OC']"
311,NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1,C#CCN.[N-]=[N+]=Nc1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,4,"['NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)N)cc2)nn1', 'O=C(Cl)C(Cl)Cl']",[],['NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1'],0.0,0.0,"['NCc1cn(-c2ccc([C@@H](O)[C@H](N)CF)cc2)nn1', 'O=C(Cl)C(Cl)Cl']","['C#CCN', '[N-]=[N+]=Nc1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1']"
321,COc1ccc(F)cc1C(=O)c1cnc(NC2CCN(S(=O)(=O)CCCN3CCN(C)CC3)CC2)nc1N,CN1CCNCC1.COc1ccc(F)cc1C(=O)c1cnc(NC2CCN(S(=O)(=O)CCCCl)CC2)nc1N,1,"['COc1ccc(F)cc1C#N', 'NC(N)=Nc1ncc(C(=O)Cl)cn1', 'CN1CCN(CCCS(=O)(=O)N2CCC(N)CC2)CC1']",[],['COc1ccc(F)cc1C(=O)c1cnc(NC2CCN(S(=O)(=O)CCCN3CCN(C)CC3)CC2)nc1N'],0.0,0.0,"['COc1ccc(F)cc1C#N', 'NC(N)=Nc1ncc(C(=O)Cl)cn1', 'CN1CCN(CCCS(=O)(=O)N2CCC(N)CC2)CC1']","['CN1CCNCC1', 'COc1ccc(F)cc1C(=O)c1cnc(NC2CCN(S(=O)(=O)CCCCl)CC2)nc1N']"
333,CCC(O)(CC)CCc1ccc(C(CC)(CC)c2ccc(OC[C@@H](O)CCC(=O)O)c(C)c2)cc1C,CCC(O)(C#Cc1ccc(C(CC)(CC)c2ccc(OC[C@@H](O)CCC(=O)O)c(C)c2)cc1C)CC,7,"['CCC(O)(CC)CCc1ccc(C(CC)(CC)c2ccc(O)c(C)c2)cc1C', 'O=C(O)CC[C@H](O)CO']",[],['CCC(O)(CC)CCc1ccc(C(CC)(CC)c2ccc(OC[C@@H](O)CCC(=O)O)c(C)c2)cc1C'],0.0,0.0,"['CCC(O)(CC)CCc1ccc(C(CC)(CC)c2ccc(O)c(C)c2)cc1C', 'O=C(O)CC[C@H](O)CO']",['CCC(O)(C#Cc1ccc(C(CC)(CC)c2ccc(OC[C@@H](O)CCC(=O)O)c(C)c2)cc1C)CC']
360,O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1F)N1CC(O)C1,O=C(O)c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1F.OC1CNC1,2,"['FC(F)(F)c1n[nH]c2c1COCC2', 'O=C(c1ccc(F)cc1F)N1CC(O)C1']",[],['O=C(c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1F)N1CC(O)C1'],0.0,0.0,"['FC(F)(F)c1n[nH]c2c1COCC2', 'O=C(c1ccc(F)cc1F)N1CC(O)C1']","['O=C(O)c1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1F', 'OC1CNC1']"
367,COc1ccc(COc2ccc(CN[C@H](C)c3ccccc3)cn2)cn1,C[C@@H](NCc1ccc(OCc2ccc(F)nc2)nc1)c1ccccc1.C[O-],1,"['COc1ccc(CBr)cn1', 'C[C@@H](NCc1ccc(O)nc1)c1ccccc1']",[],['COc1ccc(COc2ccc(CN[C@H](C)c3ccccc3)cn2)cn1'],0.0,0.0,"['COc1ccc(CBr)cn1', 'C[C@@H](NCc1ccc(O)nc1)c1ccccc1']","['C[C@@H](NCc1ccc(OCc2ccc(F)nc2)nc1)c1ccccc1', 'C[O-]']"
373,CCCOc1ccc2c(c1)C(=O)c1cccc(O)c1-2,CCCOc1ccc2c(c1)C(=O)c1cccc(OC)c1-2,6,"['CCCCl', 'O=C1c2cc(O)ccc2-c2c(O)cccc21']",[],['CCCOc1ccc2c(c1)C(=O)c1cccc(O)c1-2'],0.0,0.0,"['CCCCl', 'O=C1c2cc(O)ccc2-c2c(O)cccc21']",['CCCOc1ccc2c(c1)C(=O)c1cccc(OC)c1-2']
388,COc1cc(/C=C/c2n[nH]c3ccccc23)ccc1OCCN1CCOCC1,COc1cc(C=O)ccc1OCCN1CCOCC1.c1ccc([P+](Cc2n[nH]c3ccccc23)(c2ccccc2)c2ccccc2)cc1,3,"['OCCN1CCOCC1', 'COc1cc(/C=C/c2n[nH]c3ccccc23)ccc1F']",[],['COc1cc(/C=C/c2n[nH]c3ccccc23)ccc1OCCN1CCOCC1'],0.0,0.0,"['OCCN1CCOCC1', 'COc1cc(/C=C/c2n[nH]c3ccccc23)ccc1F']","['COc1cc(C=O)ccc1OCCN1CCOCC1', 'c1ccc([P+](Cc2n[nH]c3ccccc23)(c2ccccc2)c2ccccc2)cc1']"
416,CCOC(=O)CCCCN1CCN(CCCCNC(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)NCCCCN1CCNCC1.CCOC(=O)CCCCBr,1,"['CC(C)(C)OC(=O)NCCCCCl', 'CCOC(=O)CCCCN1CCNCC1']",[],['CCOC(=O)CCCCN1CCN(CCCCNC(=O)OC(C)(C)C)CC1'],0.0,0.0,"['CC(C)(C)OC(=O)NCCCCCl', 'CCOC(=O)CCCCN1CCNCC1']","['CC(C)(C)OC(=O)NCCCCN1CCNCC1', 'CCOC(=O)CCCCBr']"
439,OCCC1OCc2cc(Cl)ccc21,O=C(O)CC1OCc2cc(Cl)ccc21,7,['CC(=O)OCCC1OCc2cc(Cl)ccc21'],[],['OCCC1OCc2cc(Cl)ccc21'],0.0,0.0,['CC(=O)OCCC1OCc2cc(Cl)ccc21'],['O=C(O)CC1OCc2cc(Cl)ccc21']
487,O=C1Nc2cccnc2N(C(=O)Oc2ccccc2)c2ccccc21,O=C(Cl)Oc1ccccc1.O=C1Nc2cccnc2Nc2ccccc21,2,"['Oc1ccccc1', 'O=C1Nc2cccnc2N(C(=O)Cl)c2ccccc21']",[],['O=C1Nc2cccnc2N(C(=O)Oc2ccccc2)c2ccccc21'],0.0,0.0,"['Oc1ccccc1', 'O=C1Nc2cccnc2N(C(=O)Cl)c2ccccc21']","['O=C(Cl)Oc1ccccc1', 'O=C1Nc2cccnc2Nc2ccccc21']"
500,NNC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1,COC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1.NN,2,['CC(C)(C)OC(=O)NNC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1'],[],['NNC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1'],0.0,0.0,['CC(C)(C)OC(=O)NNC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1'],"['COC(=O)c1ccc(-c2csc(N=C(N)N)n2)o1', 'NN']"
510,CC(C)(C)OC(=O)N1Cc2cc(C3=CCOCC3)c(C3CC3)cc2C1,CC(C)(C)OC(=O)N1Cc2cc(Cl)c(C3=CCOCC3)cc2C1.CCCC[Sn](CCCC)(CCCC)C1CC1,3,"['CC1(C)OB(C2=CCOCC2)OC1(C)C', 'CC(C)(C)OC(=O)N1Cc2cc(Br)c(C3CC3)cc2C1']",[],['CC(C)(C)OC(=O)N1Cc2cc(C3=CCOCC3)c(C3CC3)cc2C1'],0.0,0.0,"['CC1(C)OB(C2=CCOCC2)OC1(C)C', 'CC(C)(C)OC(=O)N1Cc2cc(Br)c(C3CC3)cc2C1']","['CC(C)(C)OC(=O)N1Cc2cc(Cl)c(C3=CCOCC3)cc2C1', 'CCCC[Sn](CCCC)(CCCC)C1CC1']"
576,CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)N1CCC[C@H]1C(=O)O,CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1,6,"['CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)Cl', 'O=C(O)[C@@H]1CCCC1=O']",[],['CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)N1CCC[C@H]1C(=O)O'],0.0,0.0,"['CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)Cl', 'O=C(O)[C@@H]1CCCC1=O']",['CCOP(=O)(CCCCc1ccccc1)N(C)CC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1']
590,CCc1ccncc1-c1csc(-c2cccc(S(N)(=O)=O)c2)n1,CCc1ccncc1C(=O)CBr.NC(=S)c1cccc(S(N)(=O)=O)c1,4,"['CCc1ccncc1-c1cscn1', 'NS(=O)(=O)c1cccc(Br)c1']",[],['CCc1ccncc1-c1csc(-c2cccc(S(N)(=O)=O)c2)n1'],0.0,0.0,"['CCc1ccncc1-c1cscn1', 'NS(=O)(=O)c1cccc(Br)c1']","['CCc1ccncc1C(=O)CBr', 'NC(=S)c1cccc(S(N)(=O)=O)c1']"
621,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)[C@@H](O)CC(C)(C)O2,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)C(=O)CC(C)(C)O2,7,"['CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)Cl)[C@@H](O)CC(C)(C)O2', 'FC(F)(F)Oc1ccccc1']",[],['CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)[C@@H](O)CC(C)(C)O2'],0.0,0.0,"['CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)Cl)[C@@H](O)CC(C)(C)O2', 'FC(F)(F)Oc1ccccc1']",['CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(=O)c1ccc(OC(F)(F)F)cc1)C(=O)CC(C)(C)O2']
623,O=C(c1ccc(F)cc1)N1CCCC(O)C1,O=C(O)c1ccc(F)cc1.OC1CCCNC1,2,['O=C1CCCN(C(=O)c2ccc(F)cc2)C1'],[],['O=C(c1ccc(F)cc1)N1CCCC(O)C1'],0.0,0.0,['O=C1CCCN(C(=O)c2ccc(F)cc2)C1'],"['O=C(O)c1ccc(F)cc1', 'OC1CCCNC1']"
647,COc1ccc(N)cc1-c1cccc(CN)c1,COc1ccc([N+](=O)[O-])cc1-c1cccc(CN)c1,7,"['NCc1cccc(B(O)O)c1', 'COc1ccc(N)cc1Br']",[],['COc1ccc(N)cc1-c1cccc(CN)c1'],0.0,0.0,"['NCc1cccc(B(O)O)c1', 'COc1ccc(N)cc1Br']",['COc1ccc([N+](=O)[O-])cc1-c1cccc(CN)c1']
668,CNC1CN(c2nc3ncc(Br)cc3c3cc(C)nn23)C1,Cc1cc2c3cc(Br)cnc3nc(N3CC(N(C)C(=O)OC(C)(C)C)C3)n2n1,6,"['CNC1CNC1', 'Cc1cc(-c2ccccc2)nn2c1nc1ncc(Br)cc12']",[],['CNC1CN(c2nc3ncc(Br)cc3c3cc(C)nn23)C1'],0.0,0.0,"['CNC1CNC1', 'Cc1cc(-c2ccccc2)nn2c1nc1ncc(Br)cc12']",['Cc1cc2c3cc(Br)cnc3nc(N3CC(N(C)C(=O)OC(C)(C)C)C3)n2n1']
713,CCC[C@@H](N)C(=O)N1CC(F)C1,CCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CC(F)C1,6,"['FC1CNC1', 'CCC[C@@H](N)C(=O)O']",[],['CCC[C@@H](N)C(=O)N1CC(F)C1'],0.0,0.0,"['FC1CNC1', 'CCC[C@@H](N)C(=O)O']",['CCC[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CC(F)C1']
764,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)N[C@H](C)c3ccncc3)cc1)C(=O)N1CCC[C@@H]21,CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)O)cc1)C(=O)N1CCC[C@@H]21.C[C@@H](N)c1ccncc1,2,['C[C@@H](N)c1ccncc1'],[],['CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)N[C@H](C)c3ccncc3)cc1)C(=O)N1CCC[C@@H]21'],0.0,0.0,[],['CCOC(=O)c1c(CCc2ccc(C(F)(F)F)cc2)nc2c(c1-c1ccc(C(=O)O)cc1)C(=O)N1CCC[C@@H]21']
765,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)OC(C)(C)C)cc1,C[C@H](NC(=O)c1cc(Cl)cnc1Cl)c1ccc(C(=O)OC(C)(C)C)cc1.Oc1cccc(F)c1,1,"['C[C@H](N)c1ccc(C(=O)OC(C)(C)C)cc1', 'O=C(O)c1cc(Cl)cnc1Oc1cccc(F)c1']",[],['C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)OC(C)(C)C)cc1'],0.0,0.0,"['C[C@H](N)c1ccc(C(=O)OC(C)(C)C)cc1', 'O=C(O)c1cc(Cl)cnc1Oc1cccc(F)c1']","['C[C@H](NC(=O)c1cc(Cl)cnc1Cl)c1ccc(C(=O)OC(C)(C)C)cc1', 'Oc1cccc(F)c1']"
794,CCCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)O)c1CCC,CCCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)OCC)c1CCC,6,['C=CCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)O)c1CCC'],[],['CCCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)O)c1CCC'],0.0,0.0,['C=CCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)O)c1CCC'],['CCCc1c(O)c(C(C)=O)cc(Cl)c1OCCCOCCCOc1c(C(C)=O)ccc(OCCCC(=O)OCC)c1CCC']
795,N#Cc1cc(C(O)CNC2CCC2)cc(Br)c1N,N#Cc1cc(C(=O)CNC2CCC2)cc(Br)c1N,7,"['NC1CCC1', 'N#Cc1cc(C2CO2)cc(Br)c1N']",[],['N#Cc1cc(C(O)CNC2CCC2)cc(Br)c1N'],0.0,0.0,"['NC1CCC1', 'N#Cc1cc(C2CO2)cc(Br)c1N']",['N#Cc1cc(C(=O)CNC2CCC2)cc(Br)c1N']
799,CCc1cnc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)cc3)CC2)nc1,CCc1cnc(Cl)nc1.CS(=O)(=O)c1ccc(-c2ccc(OCC3CCNCC3)cc2)cc1,1,"['CS(=O)(=O)c1ccc(-c2ccc(O)cc2)cc1', 'CCc1cnc(N2CCC(CBr)CC2)nc1']",[],['CCc1cnc(N2CCC(COc3ccc(-c4ccc(S(C)(=O)=O)cc4)cc3)CC2)nc1'],0.0,0.0,"['CS(=O)(=O)c1ccc(-c2ccc(O)cc2)cc1', 'CCc1cnc(N2CCC(CBr)CC2)nc1']","['CCc1cnc(Cl)nc1', 'CS(=O)(=O)c1ccc(-c2ccc(OCC3CCNCC3)cc2)cc1']"
932,CC1CCCC([N+]2(C)CCCC2)C1,CC1CCCC(N2CCCC2)C1.CI,1,"['CC1CCCC(O)C1', 'C1CCCC1[N+](C)(C)I']",[],['CC1CCCC([N+]2(C)CCCC2)C1'],0.0,0.0,"['CC1CCCC(O)C1', 'C[N+](C)(I)C1CCCC1']","['CC1CCCC(N2CCCC2)C1', 'CI']"
965,O=S1(=O)c2ccccc2C=Cc2ccc(CO)cc21,O=C(O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C=C2,7,['O=S1(=O)c2ccccc2C=Cc2ccc(C=O)cc21'],['CO'],['O=S1(=O)c2ccccc2C=Cc2ccc(CO)cc21'],0.0,0.0,"['O=Cc1ccc2c(c1)S(=O)(=O)c1ccccc1C=C2', 'CO']",['O=C(O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C=C2']
970,C=CCN1[C@H]2CC[C@@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@]1(c1ccccc1)C[C@H]2C#N,C=CCN1C2CCC(O)C1(c1ccccc1)CC2C#N.FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,1,"['C=CCN1[C@H]2CC[C@@H](O)[C@]1(c1ccccc1)C[C@H]2C#N', 'OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1']",[],['C=CCN1[C@H]2CC[C@@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@]1(c1ccccc1)C[C@H]2C#N'],0.0,0.0,"['C=CCN1[C@H]2CC[C@@H](O)[C@]1(c1ccccc1)C[C@H]2C#N', 'OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1']","['C=CCN1C2CCC(O)C1(c1ccccc1)CC2C#N', 'FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1']"
1076,Cc1nc(NCCCc2cccc(O)c2)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)OCC(C)(C)C,CC(C)(C)CO.Cc1nc(NCCCc2cccc(O)c2)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)O,2,"['NCCCc1cccc(O)c1', 'Cc1nc(Cl)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)OCC(C)(C)C']",[],['Cc1nc(NCCCc2cccc(O)c2)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)OCC(C)(C)C'],0.0,0.0,"['NCCCc1cccc(O)c1', 'Cc1nc(Cl)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)OCC(C)(C)C']","['CC(C)(C)CO', 'Cc1nc(NCCCc2cccc(O)c2)nc(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(=O)O']"
1107,COCCCCC1(CNC(=O)[C@H]2C[C@H](C(=O)NCCc3ccccc3)CN(C(=O)OC(C)(C)C)C2)c2ccccc2Oc2ccccc21,COCCCCC1(CNC(=O)[C@H]2C[C@H](C(=O)O)CN(C(=O)OC(C)(C)C)C2)c2ccccc2Oc2ccccc21.NCCc1ccccc1,2,"['COCCCCC1(CN)c2ccccc2Oc2ccccc21', 'O=C(N[C@H]1C[C@H](C(=O)NCCc2ccccc2)CN(C(=O)OC(C)(C)C)C1)[C@@H]1C[C@@H](C(=O)NCCc2ccccc2)CN(C(=O)OC(C)(C)C)C1']",[],['COCCCCC1(CNC(=O)[C@H]2C[C@H](C(=O)NCCc3ccccc3)CN(C(=O)OC(C)(C)C)C2)c2ccccc2Oc2ccccc21'],0.0,0.0,"['COCCCCC1(CN)c2ccccc2Oc2ccccc21', 'CC(C)(C)OC(=O)N1C[C@@H](NC(=O)[C@@H]2C[C@@H](C(=O)NCCc3ccccc3)CN(C(=O)OC(C)(C)C)C2)C[C@H](C(=O)NCCc2ccccc2)C1']","['COCCCCC1(CNC(=O)[C@H]2C[C@H](C(=O)O)CN(C(=O)OC(C)(C)C)C2)c2ccccc2Oc2ccccc21', 'NCCc1ccccc1']"
