target_smiles_canonical,product_smiles_canonical,reactant_smiles_canonical,stability_score,stability_assessment,stability_issues,hallucination_score,hallucination_severity
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,C=Cc1ccccc1C=O,C=Cc1ccccc1CO,100,Likely stable,,100,low
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,N#Cc1cc(Cl)cc(B(O)O)c1,NC(=O)c1cc(Cl)cc(B(O)O)c1,100,Likely stable,,95,low
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCC/C=C/[C@H]1CC[C@H](C=O)CC1,100,Likely stable,,75,medium
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCC/C=C/[C@H]1CC[C@H](C=O)CC1,CCC/C=C/[C@H]1CC[C@H](CO)CC1,100,Likely stable,,100,low
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCC/C=C/[C@H]1CC[C@H](CO)CC1,O=C[C@H]1CC[C@H](CO)CC1,100,Likely stable,,0,critical
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCC/C=C/[C@H]1CC[C@H](CO)CC1,CCCCS(=O)(=O)c1nnnn1-c1ccccc1,100,Likely stable,,0,critical
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCCCS(=O)(=O)c1nnnn1-c1ccccc1,O=C(OO)c1cccc(Cl)c1,100,Likely stable,,0,critical
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCCCS(=O)(=O)c1nnnn1-c1ccccc1,CCCCSc1nnnn1-c1ccccc1,100,Likely stable,,0,critical
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCCCSc1nnnn1-c1ccccc1,CCCCO,100,Likely stable,,95,low
CCC/C=C/[C@H]1CC[C@H](C(CO)CO)CC1,CCCCSc1nnnn1-c1ccccc1,Sc1nnnn1-c1ccccc1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCN(C(=O)OC(C)(C)C)C[C@H]3C(=O)O)cc2)c(Cl)c1,,,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COCCCc1cc(CNC2CC2)cc(OCC(C)(C)O)c1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCN(C(=O)OC(C)(C)C)C[C@H]3C(=O)O)cc2)c(Cl)c1,CC(C)(C)OC(=O)N1CC[C@H](c2ccc(O)cc2)[C@H](C(=O)O)C1,,,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCN(C(=O)OC(C)(C)C)C[C@H]3C(=O)O)cc2)c(Cl)c1,Cc1cc(Cl)c(OCCCl)c(Cl)c1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,CC(C)(C)OC(=O)N1CC[C@H](c2ccc(O)cc2)[C@H](C(=O)O)C1,O=C(O)[C@@H]1CNCC[C@H]1c1ccc(O)cc1,,,,75,medium
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,CC(C)(C)OC(=O)N1CC[C@H](c2ccc(O)cc2)[C@H](C(=O)O)C1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,100,Likely stable,,75,medium
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,O=C(O)[C@@H]1CNCC[C@H]1c1ccc(O)cc1,N#C[C@@H]1CNCC[C@H]1c1ccc(O)cc1,,,,85,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,N#C[C@@H]1CNCC[C@H]1c1ccc(O)cc1,Oc1ccc([C@@H]2CCNC[C@H]2Br)cc1,,,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,N#C[C@@H]1CNCC[C@H]1c1ccc(O)cc1,C#N,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Oc1ccc([C@@H]2CCNC[C@H]2Br)cc1,Oc1ccc([C@H]2CCCNC2)cc1,100,Likely stable,,90,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Oc1ccc([C@H]2CCCNC2)cc1,COc1ccc([C@H]2CCCNC2)cc1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,C=C(C)C,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)O,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,CC(C)(C)OC(=O)OC(=O)O,C=C(C)C,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,CC(C)(C)OC(=O)OC(=O)O,O=C(O)OC(=O)O,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Cc1cc(Cl)c(OCCCl)c(Cl)c1,ClCCBr,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,Cc1cc(Cl)c(OCCCl)c(Cl)c1,Cc1cc(Cl)c(O)c(Cl)c1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COCCCc1cc(CNC2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(CNC2CC2)cc(OCC(C)(C)O)c1,100,Likely stable,,100,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(CNC2CC2)cc(OCC(C)(C)O)c1,NC1CC1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(CNC2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(C=O)cc(OCC(C)(C)O)c1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(C=O)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(CO)cc(OCC(C)(C)O)c1,100,Likely stable,,100,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(CO)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(OCC(C)(C)O)cc(C(=O)OC)c1,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(OCC(C)(C)O)cc(C(=O)OC)c1,COC/C=C/B1OC(C)(C)C(C)(C)O1,95,Likely stable,,45,medium
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC/C=C/c1cc(OCC(C)(C)O)cc(C(=O)OC)c1,COC(=O)c1cc(Br)cc(OCC(C)(C)O)c1,100,Likely stable,,45,medium
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC(=O)c1cc(Br)cc(OCC(C)(C)O)c1,CC(C)(O)CO,100,Likely stable,,95,low
COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,COC(=O)c1cc(Br)cc(OCC(C)(C)O)c1,COC(=O)c1cc(O)cc(Br)c1,100,Likely stable,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,50,Moderately stable,"Large (21-membered) heterocycle with O, N (potentially unstable); Very large heterocycle with multiple heteroatoms (significant stability concern)",95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,O,100,Likely stable,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(C)CC2OC)C(O)C(=O)N2CCCCC2C(=O)OC(C(C)=CC2CCC(O)C(OC)C2)C(C)C=CC1O,,,,100,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(C)CC2OC)C(O)C(=O)N2CCCCC2C(=O)OC(C(C)=CC2CCC(O)C(OC)C2)C(C)C=CC1O,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(OC)CC3C)CCC1O,,,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(C)CC2OC)C(O)C(=O)N2CCCCC2C(=O)OC(C(C)=CC2CCC(O)C(OC)C2)C(C)C=CC1O,C=C,100,Likely stable,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(OC)CC3C)CCC1O,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC3C)C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)CCC1O,,,,90,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC3C)C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)CCC1O,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(O)CC3C)CCC1O,,,,90,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(O)CC3C)CCC1O,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,,,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(O)CC3C)CCC1O,CI,100,Likely stable,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,,,,100,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)C(=O)O)OC2C(O)CC(C)C1,,,,45,medium
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,COC(=O)C1CCCCN1,95,Likely stable,,45,medium
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)C(=O)O)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,,,,90,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,,,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,O=C=O,65,Moderately stable,Contains carbene (highly reactive intermediate),95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(O)OC2C(O)CC(C)C1,,,,90,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,OCC(O)CO,100,Likely stable,,90,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(O)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(O)OC2CC(C)C(O)OC2C(O)CC(C)C1,,,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(O)OC2C(O)CC(C)C1,CC(C)=CC1CCC(Br)CC1,100,Likely stable,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(O)OC2CC(C)C(O)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(O)CC(C)C(O)C(O)CC(C)C1,,,,65,medium
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(O)OC2CC(C)C(O)OC2C(O)CC(C)C1,CC(=O)O,100,Likely stable,,65,medium
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(O)CC(C)C(O)C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(O)CC(C)C(=O)C(O)CC(C)C1,,,,85,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC1=CC(C)C(O)C=CC(C)C(O)CC(C)C(O)C(O)CC(C)C1,CC(C)O,,,,85,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC(C)=CC1CCC(Br)CC1,CC(C)Br,100,Likely stable,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,CC(C)=CC1CCC(Br)CC1,O=C1CCC(Br)CC1,100,Likely stable,,95,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,O=C1CCC(Br)CC1,OC1CCC(Br)CC1,100,Likely stable,,100,low
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,COC(=O)C1CCCCN1,COC(=O)c1ccccn1,100,Likely stable,,60,medium
CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,CC(=O)NC[C@H]1CC[C@@H](C(=O)O)N1,95,Likely stable,,95,low
CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,Nc1cccc(OC(F)(F)F)c1,100,Likely stable,,95,low
CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,CC(=O)NC[C@H]1CC[C@@H](C(=O)O)N1,CC(=O)NC(=O)[C@H]1CC[C@@H](C(=O)O)N1,95,Likely stable,,95,low
CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,CC(=O)NC(=O)[C@H]1CC[C@@H](C(=O)O)N1,CC(N)=O,100,Likely stable,,95,low
CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,CC(=O)NC(=O)[C@H]1CC[C@@H](C(=O)O)N1,O=C(O)[C@@H]1CC[C@H](C(=O)Cl)N1,95,Likely stable,,95,low
CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,O=C(O)[C@@H]1CC[C@H](C(=O)Cl)N1,O=S(Cl)Cl,100,Likely stable,,90,low
