product,reactants,label,target,source,hallucination_score,reason
COC(=O)c1cc(Br)cc(OCC(C)(C)O)c1,CC(C)(O)CO.COC(=O)c1cc(O)cc(Br)c1,0,COCCCc1cc(CN(C(=O)[C@H]2CN(C(=O)OC(C)(C)C)CC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,patent,95,
C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC.O,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,95,
C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(C)CC2OC)C(O)C(=O)N2CCCCC2C(=O)OC(C(C)=CC2CCC(O)C(OC)C2)C(C)C=CC1O,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,100,
C=CCC1C=C(C)CC(C)CC(OC)C2OC(C(C)CC2OC)C(O)C(=O)N2CCCCC2C(=O)OC(C(C)=CC2CCC(O)C(OC)C2)C(C)C=CC1O,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(OC)CC3C)CCC1O.C=C,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,95,
COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(OC)CC3C)CCC1O,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC3C)C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)CCC1O,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,90,
COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC3C)C(OC)CC(C)CC(C)=CC(C)C(O)C=CC2C)CCC1O,COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(O)CC3C)CCC1O,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,90,
COC1CC(C=C(C)C2OC(=O)C3CCCCN3C(=O)C(O)C3OC(C(O)CC(C)CC(C)=CC(C)C(O)C=CC2C)C(O)CC3C)CCC1O,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C.CI,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,95,
CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,100,
CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC(=O)C2CCCCN2C(=O)C(O)C2OC(C(O)CC(C)C1)C(O)CC2C,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)C(=O)O)OC2C(O)CC(C)C1.COC(=O)C1CCCCN1,1,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,45,
CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)C(=O)O)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,90,
CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)C(=O)C2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1.O=C=O,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,95,
CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(C(O)CO)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(O)OC2C(O)CC(C)C1.OCC(O)CO,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,90,
CC1=CC(C)C(O)C=CC(C)C(C(C)=CC2CCC(O)CC2)OC2CC(C)C(O)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(O)OC2CC(C)C(O)OC2C(O)CC(C)C1.CC(C)=CC1CCC(Br)CC1,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,95,
CC1=CC(C)C(O)C=CC(C)C(O)OC2CC(C)C(O)OC2C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(O)CC(C)C(O)C(O)CC(C)C1.CC(=O)O,1,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,65,
CC1=CC(C)C(O)C=CC(C)C(O)CC(C)C(O)C(O)CC(C)C1,CC1=CC(C)C(O)C=CC(C)C(O)CC(C)C(=O)C(O)CC(C)C1.CC(C)O,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,85,
CC(C)=CC1CCC(Br)CC1,CC(C)Br.O=C1CCC(Br)CC1,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,95,
O=C1CCC(Br)CC1,OC1CCC(Br)CC1,0,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,100,
COC(=O)C1CCCCN1,COC(=O)c1ccccn1,1,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC,patent,60,
CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,CC(=O)NC[C@H]1CC[C@@H](C(=O)O)N1.Nc2cccc(OC(F)(F)F)c2,0,unknown,patent,95,
CC(=O)NC[C@H]1CC[C@@H](C(=O)O)N1,CC(=O)NC(=O)[C@H]1CC[C@@H](C(=O)O)N1,0,CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,patent,95,
CC(=O)NC(=O)[C@H]1CC[C@@H](C(=O)O)N1,CC(N)=O.O=C(O)[C@@H]1CC[C@H](C(=O)Cl)N1,0,CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,patent,95,
O=C(O)[C@@H]1CC[C@H](C(=O)Cl)N1,O=S(Cl)Cl.O=C(O)[C@@H]1CC[C@H](C(=O)O)N1,0,CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,patent,90,
Nc1cccc(OC(F)(F)F)c1,O=[N+]([O-])c1cccc(OC(F)(F)F)c1,0,CC(=O)NC[C@H]1CC[C@@H](C(=O)Nc2cccc(OC(F)(F)F)c2)N1,patent,90,
COC(=O)c1ccc2c(c1)C=CC(=C(Cl)Cl)CO2,COC(=O)c1ccc2c(c1)C=CC(=O)CO2,0,COC(=O)c1ccc2c(c1)C=CC(=C(Cl)Cl)CO2,patent,80,
COC(=O)c1ccc2c(c1)C=CC(=O)CO2,COC(=O)c1ccc(O)c(C=CC(=O)CO)c1,1,COC(=O)c1ccc2c(c1)C=CC(=C(Cl)Cl)CO2,patent,70,
COC(=O)c1ccc(O)c(C=CC(=O)CO)c1,CC(=O)CO.COC(=O)c1ccc(O)c(C=O)c1,0,COC(=O)c1ccc2c(c1)C=CC(=C(Cl)Cl)CO2,patent,95,
Cc1ccc(C(C)(C)C)cc1S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Cc1ccc(C(C)(C)C)cc1F.OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O,0,Cc1ccc(C(C)(C)C)cc1S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,patent,95,
Cc1ccc(C(C)(C)C)cc1F,CC(C)(C)Cl.Cc1ccccc1F,0,Cc1ccc(C(C)(C)C)cc1S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,patent,95,
COC(=O)[C@@H]1CCCC2(CCCCC2)[C@H]1O,O=C(O)[C@@H]1CCCC2(CCCCC2)[C@H]1O.CO,0,COC(=O)[C@@H]1CCCC2(CCCCC2)[C@H]1O,patent,95,
O=C(O)[C@@H]1CCCC2(CCCCC2)[C@H]1O,O=C[C@@H]1CCCC2(CCCCC2)[C@H]1O,0,COC(=O)[C@@H]1CCCC2(CCCCC2)[C@H]1O,patent,90,
O=C[C@@H]1CCCC2(CCCCC2)[C@H]1O,OC[C@@H]1CCCC2(CCCCC2)[C@H]1O,0,COC(=O)[C@@H]1CCCC2(CCCCC2)[C@H]1O,patent,100,
OC[C@@H]1CCCC2(CCCCC2)[C@H]1O,C=C[C@@H]1CCCC2(CCCCC2)C1,0,COC(=O)[C@@H]1CCCC2(CCCCC2)[C@H]1O,patent,85,
C=C[C@@H]1CCCC2(CCCCC2)C1,C=CC1CCCCC1.BrCCCCCBr,1,COC(=O)[C@@H]1CCCC2(CCCCC2)[C@H]1O,patent,40,
CC(C)S(=O)(=O)N[C@H]1CCOC[C@H]1c1ccc(I)cc1,N[C@H]1CCOC[C@H]1c1ccc(I)cc1.CC(C)S(=O)(=O)Cl,0,CC(C)S(=O)(=O)N[C@H]1CCOC[C@H]1c1ccc(I)cc1,patent,95,
N[C@H]1CCOC[C@H]1c1ccc(I)cc1,O=C1CCOC[C@H]1c1ccc(I)cc1.N,0,CC(C)S(=O)(=O)N[C@H]1CCOC[C@H]1c1ccc(I)cc1,patent,95,
O=C1CCOC[C@H]1c1ccc(I)cc1,O=C(O)CCC[C@H](O)c1ccc(I)cc1,1,CC(C)S(=O)(=O)N[C@H]1CCOC[C@H]1c1ccc(I)cc1,patent,45,
O=C(O)CCC[C@H](O)c1ccc(I)cc1,O=C(O)CCCC(=O)c1ccc(I)cc1,0,CC(C)S(=O)(=O)N[C@H]1CCOC[C@H]1c1ccc(I)cc1,patent,100,
O=C(O)CCCC(=O)c1ccc(I)cc1,O=C(O)CCCC(=O)O.Ic1ccccc1,1,CC(C)S(=O)(=O)N[C@H]1CCOC[C@H]1c1ccc(I)cc1,patent,35,
CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4)oc23)[C@@H]1CO,O=c1cc(-c2ccc(C(F)(F)F)cc2)oc2c(Br)c(O)cc(O)c12.CN1CC[C@@H](B(O)O)[C@@H]1CO,1,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4)oc23)[C@@H]1CO,patent,30,
O=c1cc(-c2ccc(C(F)(F)F)cc2)oc2c(Br)c(O)cc(O)c12,O=C1CCC(=O)N1Br.O=c1cc(-c2ccc(C(F)(F)F)cc2)oc2cc(O)cc(O)c12,1,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4)oc23)[C@@H]1CO,patent,55,
O=c1cc(-c2ccc(C(F)(F)F)cc2)oc2cc(O)cc(O)c12,CC(=O)c1c(O)cc(O)cc1O.O=C(Cl)c1ccc(C(F)(F)F)cc1,1,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4)oc23)[C@@H]1CO,patent,5,
CN1CC[C@@H](B(O)O)[C@@H]1CO,CN1CC[C@@H](Br)[C@@H]1CO,0,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4)oc23)[C@@H]1CO,patent,80,
CN1CC[C@@H](Br)[C@@H]1CO,CN1CC[C@@H](Br)[C@@H]1C=O,0,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(C(F)(F)F)cc4)oc23)[C@@H]1CO,patent,100,
CC#CCn1c(Br)nc(C=O)c1C(=O)OC,CC#CCBr.COC(=O)c1[nH]c(Br)nc1C=O,0,CC#CCn1c(Br)nc(C=O)c1C(=O)OC,patent,95,
COC(=O)c1[nH]c(Br)nc1C=O,COC(=O)c1[nH]cnc1C=O.O=C1CCC(=O)N1Br,1,CC#CCn1c(Br)nc(C=O)c1C(=O)OC,patent,30,
Cc1ccn2cc(CO)n(-c3ccccc3)c(=O)c12,Cc1ccn2cc(C=O)n(-c3ccccc3)c(=O)c12,0,Cc1ccn2cc(CO)n(-c3ccccc3)c(=O)c12,patent,100,
CC(C)(CO)n1c(CO)nc2cnc(Br)cc21,O=C(O)CO.CC(C)(CO)Nc1cc(Br)ncc1N,1,CC(C)(CO)n1c(CO)nc2cnc(Br)cc21,patent,25,
CC(C)(CO)Nc1cc(Br)ncc1N,CC(C)(CO)Nc1cc(Br)ncc1N=C(c1ccccc1)c1ccccc1,1,CC(C)(CO)n1c(CO)nc2cnc(Br)cc21,patent,0,
CC(C)(CO)Nc1cc(Br)ncc1N=C(c1ccccc1)c1ccccc1,N=C(c1ccccc1)c1ccccc1.CC(C)(CO)Nc1cc(Br)ncc1Br,0,CC(C)(CO)n1c(CO)nc2cnc(Br)cc21,patent,95,
CC(C)(CO)Nc1cc(Br)ncc1Br,CC(C)(N)CO.Brc1cc(Br)c(Br)cn1,1,CC(C)(CO)n1c(CO)nc2cnc(Br)cc21,patent,35,
Brc1cc(Br)c(Br)cn1,O=C1CCC(=O)N1Br.Brc1ccnc(Br)c1,1,CC(C)(CO)n1c(CO)nc2cnc(Br)cc21,patent,55,
C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=O,0,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,95,
C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=O,CC(C)(C)OC(=O)[C@]12C=CC[C@H]1C(=O)NC2.C[C@H](Br)c1ccccc1,0,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,95,
CC(C)(C)OC(=O)[C@]12C=CC[C@H]1C(=O)NC2,CC(C)(C)OC(=O)[C@]1(CN)C=CC[C@H]1C(=O)O,1,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,45,
CC(C)(C)OC(=O)[C@]1(CN)C=CC[C@H]1C(=O)O,CC(C)(C)OC(=O)[C]1C=CC[C@H]1C(=O)O,0,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,85,
CC(C)(C)OC(=O)[C]1C=CC[C@H]1C(=O)O,C=CC[C@@H]([C](C=C)C(=O)OC(C)(C)C)C(=O)O,1,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,65,
C=CC[C@@H]([C](C=C)C(=O)OC(C)(C)C)C(=O)O,C=CC[C@H](C(=O)O)[C@](C=C)(C(=O)O)C(=O)OC(C)(C)C,0,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,90,
C=CC[C@H](C(=O)O)[C@](C=C)(C(=O)O)C(=O)OC(C)(C)C,C=CC[C@H](C(=O)O)C(C(=O)O)(C(=O)O)C(=O)OC(C)(C)C,0,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,90,
C=CC[C@H](C(=O)O)C(C(=O)O)(C(=O)O)C(=O)OC(C)(C)C,C=CC[C@H](C(=O)O)C(C(=O)O)(C(=O)O)C(=O)O.CC(C)(C)O,0,C[C@H](c1ccccc1)N1C[C@]2(C(=O)OC(C)(C)C)C=CC[C@@H]2C1=S,patent,95,
